Path in MiSTer,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional)
_Arcade/cores/Arcade-GingaNin_20260925.rbf,https://raw.githubusercontent.com/kuzearcade/Arcade-GingaNin_MiSTer/24cdb917776970b317bbccbaf643058919d6c61d/releases/Arcade-GingaNin_20260925.rbf,3871388,76732391acc6bc50b2a8a87cd0163b0f,
_Arcade/cores/Arcade-JalecoMS1BCD_20260923.rbf,https://raw.githubusercontent.com/kuzearcade/Arcade-JalecoMS1BCD_MiSTer/244c43148775603cc970de9434ff04ada91deae2/releases/Arcade-JalecoMS1BCD_20260923.rbf,4338460,43eadd6c1dffe06cf2ca3b8f13a72ef5,
_Arcade/cores/Arcade-JalecoMS1Z_20260923.rbf,https://raw.githubusercontent.com/kuzearcade/Arcade-JalecoMS1Z_MiSTer/c422cb120bf98772f08ba0750fc5df007b904ba6/releases/Arcade-JalecoMS1Z_20260923.rbf,3421028,1ae9281289ac842ac39fe5ebc5c0d51c,
_Arcade/cores/Arcade-NMK16_Afega_20260920.rbf,https://raw.githubusercontent.com/kuzearcade/Arcade-NMK16_MiSTer/7d84cb9bcc54499b81200a5216636c339b4743c9/releases/Arcade-NMK16_Afega_20260920.rbf,4057120,50e270f83fa39f464699a493cb8799ff,
_Arcade/cores/Arcade-NMK16_Gunnail_20260920.rbf,https://raw.githubusercontent.com/kuzearcade/Arcade-NMK16_MiSTer/7d84cb9bcc54499b81200a5216636c339b4743c9/releases/Arcade-NMK16_Gunnail_20260920.rbf,4373352,54197bdad5b5c2691af7e424b181dbf4,
_Arcade/cores/Arcade-NMK16_Macross2_20260920.rbf,https://raw.githubusercontent.com/kuzearcade/Arcade-NMK16_MiSTer/7d84cb9bcc54499b81200a5216636c339b4743c9/releases/Arcade-NMK16_Macross2_20260920.rbf,4102600,fadf019e0bf4aae069119a08d6f01dcf,
_Arcade/cores/Arcade-NMK16_Raphero_20260920.rbf,https://raw.githubusercontent.com/kuzearcade/Arcade-NMK16_MiSTer/7d84cb9bcc54499b81200a5216636c339b4743c9/releases/Arcade-NMK16_Raphero_20260920.rbf,4193908,a4b27c65d609a0195e1ab14d5c31abe2,
_Arcade/cores/Arcade-NMKBP964_20260924.rbf,https://raw.githubusercontent.com/kuzearcade/Arcade-NMKBP964_MiSTer/5f5ac44181a8b5edc20bd516885c6b958a8ac16b/releases/Arcade-NMKBP964_20260924.rbf,4512140,9b7918148076522545f166e2f4092321,
_Arcade/cores/Arcade-SandScrp_20260920.rbf,https://raw.githubusercontent.com/kuzearcade/Arcade-SandScrp_MiSTer/fc83d6f9da2a690eaceb982bb7de014f34256c6e/releases/Arcade-SandScrp_20260920.rbf,3621480,c954c05ee36d9be263e94c37ee8c3873,
